algorithm,size,total_comparisons,sample_count
merge_sort,96,512,1
quick_sort,96,610,1
bubble_sort,97,4590,1
selection_sort,97,4656,1
insertion_sort,97,2302,1
merge_sort,97,513,1
quick_sort,97,580,1
bubble_sort,98,4738,1
selection_sort,98,4753,1
insertion_sort,98,2366,1
merge_sort,98,526,1
quick_sort,98,658,1
bubble_sort,99,4661,1
selection_sort,99,4851,1
insertion_sort,99,2328,1
merge_sort,99,528,1
quick_sort,99,664,1
bubble_sort,100,4944,1
selection_sort,100,4950,1
insertion_sort,100,2679,1
merge_sort,100,542,1
quick_sort,100,656,1
bubble_sort,10,45,1
selection_sort,10,45,1
insertion_sort,10,24,1
merge_sort,10,22,1
quick_sort,10,28,1
bubble_sort,11,49,1
selection_sort,11,55,1
insertion_sort,11,31,1
merge_sort,11,28,1
quick_sort,11,31,1
bubble_sort,12,60,1
selection_sort,12,66,1
insertion_sort,12,37,1
merge_sort,12,29,1
quick_sort,12,28,1
bubble_sort,13,57,1
selection_sort,13,78,1
insertion_sort,13,35,1
merge_sort,13,32,1
quick_sort,13,34,1
bubble_sort,14,63,1
selection_sort,14,91,1
insertion_sort,14,46,1
merge_sort,14,39,1
quick_sort,14,43,1
bubble_sort,15,105,1
selection_sort,15,105,1
insertion_sort,15,86,1
merge_sort,15,40,1
quick_sort,15,57,1
bubble_sort,16,110,1
selection_sort,16,120,1
insertion_sort,16,60,1
merge_sort,16,46,1
quick_sort,16,45,1
bubble_sort,17,108,1
selection_sort,17,136,1
insertion_sort,17,68,1
merge_sort,17,51,1
quick_sort,17,48,1
bubble_sort,18,152,1
selection_sort,18,153,1
insertion_sort,18,76,1
merge_sort,18,52,1
quick_sort,18,55,1
bubble_sort,19,171,1
selection_sort,19,171,1
insertion_sort,19,144,1
merge_sort,19,57,1
quick_sort,19,89,1
bubble_sort,20,162,1
selection_sort,20,190,1
insertion_sort,20,127,1
merge_sort,20,64,1
quick_sort,20,62,1
bubble_sort,21,209,1
selection_sort,21,210,1
insertion_sort,21,123,1
merge_sort,21,70,1
quick_sort,21,87,1
bubble_sort,22,231,1
selection_sort,22,231,1
insertion_sort,22,167,1
merge_sort,22,73,1
quick_sort,22,81,1
bubble_sort,23,243,1
selection_sort,23,253,1
insertion_sort,23,142,1
merge_sort,23,79,1
quick_sort,23,84,1
bubble_sort,24,266,1
selection_sort,24,276,1
insertion_sort,24,136,1
merge_sort,24,82,1
quick_sort,24,91,1
bubble_sort,25,300,1
selection_sort,25,300,1
insertion_sort,25,188,1
merge_sort,25,87,1
quick_sort,25,119,1
bubble_sort,26,304,1
selection_sort,26,325,1
insertion_sort,26,188,1
merge_sort,26,94,1
quick_sort,26,99,1
bubble_sort,27,336,1
selection_sort,27,351,1
insertion_sort,27,196,1
merge_sort,27,100,1
quick_sort,27,105,1
bubble_sort,28,342,1
selection_sort,28,378,1
insertion_sort,28,219,1
merge_sort,28,100,1
quick_sort,28,108,1
bubble_sort,29,391,1
selection_sort,29,406,1
insertion_sort,29,219,1
merge_sort,29,109,1
quick_sort,29,110,1
bubble_sort,30,414,1
selection_sort,30,435,1
